date_creation,server_id,server_ipadress,server_state,server_map,match_id,match_playerid_1,match_playersteam_1,match_playerid_2,match_playersteam_2,match_playerid_3,match_playersteam_3,match_playerid_4,match_playersteam_4,match_playerid_5,match_playersteam_5,match_playerid_6,match_playersteam_6,match_playerid_7,match_playersteam_7,match_playerid_8,match_playersteam_8,match_playerid_9,match_playersteam_9,match_playerid_10,match_playersteam_10
2025-06-08 14:12:47.880818,1,,2,"",19,,,,,,,,,,,,,,,,,,,,
2025-06-08 14:17:44.456521,2,57.130.20.184:27015,2,de_ancient,28,,,,,,,,,,,,,,,,,,,,
