date_creation,match_id,private_party,match_offer_type,match_status,match_creatorname,match_playername_1,match_playerid_1,match_playername_2,match_playerid_2,match_playername_3,match_playerid_3,match_playername_4,match_playerid_4,match_playername_5,match_playerid_5,match_playername_6,match_playerid_6,match_playername_7,match_playerid_7,match_playername_8,match_playerid_8,match_playername_9,match_playerid_9,match_playername_10,match_playerid_10,hosted_server_discordname,hosted_server_discordid,linked_embbeded_msg_1,linked_embbeded_msg_2,linked_embbeded_msg_3,linked_embbeded_msg_4,linked_embbeded_msg_5,linked_embbeded_msg_6,linked_embbeded_msg_7,linked_embbeded_msg_8,linked_embbeded_msg_9,linked_embbeded_msg_10,linked_channel_team_1,linked_channel_team_2,linked_channel_team_3,linked_channel_team_4,linked_channel_team_5,linked_channel_team_6,linked_channel_team_7,linked_channel_team_8,linked_channel_team_9,linked_channel_team_10,hosted_channelid,hosted_messageid
2025-06-08 12:04:47.499865,11,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,LINOXYR - Serveur communautaire,696396199032258644,"{""message_id"": 1381242467613147196, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}","{""message_id"": 1381242464458772602, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}",,,,,,,,,"{""message_id"": 1381242467613147196, ""team_picked"": ""BLUE""}","{""message_id"": 1381242464458772602, ""team_picked"": ""RED""}",,,,,,,,,1309222939308068946,1381242467613147196
2025-06-08 12:01:48.515636,10,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381241771652022402, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381242164356579441, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381241771652022402, ""team_picked"": ""BLUE""}","{""message_id"": 1381242164356579441, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381241771652022402
2025-06-08 13:50:39.010545,12,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381243218620055624, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381243214652112956, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381243218620055624, ""team_picked"": ""BLUE""}","{""message_id"": 1381243214652112956, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381243218620055624
2025-06-08 13:59:40.025565,13,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381269855415570502, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381269858020364439, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381269855415570502, ""team_picked"": ""BLUE""}","{""message_id"": 1381269858020364439, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381269855415570502
2025-06-08 14:22:46.784559,17,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381277121233817711, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381277124907892789, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381277121233817711, ""team_picked"": ""BLUE""}","{""message_id"": 1381277124907892789, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381277121233817711
2025-06-08 14:13:33.009520,15,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381272964384686120, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381272966918049962, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381272964384686120, ""team_picked"": ""BLUE""}","{""message_id"": 1381272966918049962, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381272964384686120
2025-06-08 14:19:31.858567,16,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381275616242041044, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381275617206599742, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381275616242041044, ""team_picked"": ""BLUE""}","{""message_id"": 1381275617206599742, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381275616242041044
2025-06-08 14:46:37.992570,18,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381277939097669795, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381277943443230720, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381277939097669795, ""team_picked"": ""BLUE""}","{""message_id"": 1381277943443230720, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381277939097669795
2025-06-08 15:23:28.203579,19,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381283944602931340, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381283948507693187, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381283944602931340, ""team_picked"": ""BLUE""}","{""message_id"": 1381283948507693187, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381283944602931340
2025-06-08 21:25:15.729644,20,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381293211313639475, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381293215478583316, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381293211313639475, ""team_picked"": ""BLUE""}","{""message_id"": 1381293215478583316, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381293211313639475
2025-06-08 21:33:36.937906,23,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381385644944920696, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381385648279130132, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381385644944920696, ""team_picked"": ""BLUE""}","{""message_id"": 1381385648279130132, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381385644944920696
2025-06-08 21:28:02.546068,21,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381384259775762505, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381384262426820639, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381384259775762505, ""team_picked"": ""BLUE""}","{""message_id"": 1381384262426820639, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381384259775762505
2025-06-08 21:30:45.684676,22,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381384959851495504, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381384963932557413, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381384959851495504, ""team_picked"": ""BLUE""}","{""message_id"": 1381384963932557413, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381384959851495504
2025-06-08 21:36:38.818081,24,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381386450632835093, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381386454491599040, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381386450632835093, ""team_picked"": ""BLUE""}","{""message_id"": 1381386454491599040, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381386450632835093
2025-06-08 21:47:38.444655,27,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381388810033565777, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381388813686804663, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381388810033565777, ""team_picked"": ""BLUE""}","{""message_id"": 1381388813686804663, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381388810033565777
2025-06-08 21:43:05.731694,26,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381388018291708136, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381388021600882710, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381388018291708136, ""team_picked"": ""BLUE""}","{""message_id"": 1381388021600882710, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381388018291708136
2025-06-08 21:40:12.020757,25,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381387124288258148, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381387127354429594, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}","{""message_id"": 1381387127354429594, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,"{""message_id"": 1381387124288258148, ""team_picked"": ""BLUE""}","{""message_id"": 1381387127354429594, ""team_picked"": ""RED""}","{""message_id"": 1381387127354429594, ""team_picked"": ""RED""}",,,,,,,,908094386330546247,1381387124288258148
2025-06-08 21:51:33.617627,28,false,PREMIUM,3,linoxyr,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,linoxyr,686282293500706981,SPEED-DISPO,907674685611864094,"{""message_id"": 1381389893078351986, ""channel_id"": 908094386330546247, ""guild_id"": 907674685611864094}","{""message_id"": 1381389893002858609, ""channel_id"": 1309222939308068946, ""guild_id"": 696396199032258644}",,,,,,,,,"{""message_id"": 1381389893078351986, ""team_picked"": ""BLUE""}","{""message_id"": 1381389893002858609, ""team_picked"": ""RED""}",,,,,,,,,908094386330546247,1381389893078351986
